0,21,77,0,28,0,27,48,22,2
0,0,92,0,0,26,36,92,6,4
3,0,82,0,2,0,29,30,2,1
37,0,76,0,28,18,40,48,8,1
37,0,79,0,34,-26,43,46,2,1
80,0,88,-4,6,1,3,83,80,0
6,0,81,0,-4,11,20,86,62,4
0,-1,90,-3,4,-4,40,41,2,1
3,8,77,0,28,0,23,48,24,4
37,0,101,-7,28,0,64,73,8,1
37,0,78,-2,12,0,42,60,24,1
40,0,84,0,46,20,38,37,0,1
38,2,77,0,38,7,39,38,0,1
37,0,78,0,-2,0,41,81,40,1
41,0,100,0,38,-8,9,61,2,1
41,0,89,1,38,-16,48,0,2,1
47,0,80,-2,46,-4,38,39,0,1
49,0,79,0,46,0,30,32,2,1
49,3,82,0,0,4,33,33,0,1
37,-318,100,-2,36,-4,68,69,0,1
44,3,77,0,44,2,33,33,0,1
106,2,108,0,70,0,1,38,36,0
37,0,76,0,28,0,40,48,8,1
49,0,100,0,0,19,2,1,0,1
40,-1,87,-2,44,-4,43,43,0,1
37,4,80,0,-2,0,43,83,40,1
0,-1,98,0,2,8,42,46,4,4
0,0,86,8,4,0,31,32,0,1
0,3,88,3,4,0,32,33,2,1
37,0,74,0,26,-1,38,48,10,1
37,0,106,0,36,3,68,69,2,1
49,0,107,0,46,-16,8,60,2,1
79,0,83,0,-46,0,4,130,126,0
1,0,79,0,2,29,28,27,0,1
9,4,84,0,60,24,20,24,0,1
37,0,108,0,30,-21,71,77,6,1
6,3,97,0,46,9,41,1,10,4
39,0,77,0,38,0,37,38,0,1
1,0,81,0,2,0,30,30,0,1
49,0,77,0,46,-9,29,31,2,1
46,2,77,0,44,-19,32,34,2,1
6,0,81,0,6,0,24,24,0,1
6,0,79,0,16,3,23,63,40,4
37,0,100,0,34,4,68,71,4,1
76,0,81,-2,-40,13,0,122,118,0
6,0,80,0,6,7,24,23,0,1
41,2,76,0,42,11,30,30,0,1
41,1,80,0,38,0,44,46,2,1
6,-4,97,0,2,-2,41,40,4,4
49,0,90,1,0,2,46,46,0,1
37,2,76,0,36,0,38,39,2,1
6,1,99,0,0,16,42,49,8,4
6,-4,88,0,6,0,31,31,0,1
37,-3,81,-2,38,-9,43,42,0,1
47,0,84,4,46,0,38,38,0,1
41,1,86,2,42,14,40,40,0,1
3,3,81,0,4,0,27,26,0,1
47,0,79,0,46,0,32,32,0,1
104,7,100,7,70,0,1,30,34,0
101,-3,102,-4,72,0,1,29,28,0
40,0,86,0,44,-17,41,42,2,1
42,4,77,0,42,1,30,30,0,1
40,0,79,0,44,-4,34,30,2,1
37,0,80,0,36,10,43,44,2,1
6,0,96,-1,44,0,40,2,12,4
6,0,81,0,-10,-3,20,92,66,4
42,0,83,2,42,0,41,42,2,1
1,1,88,0,2,7,37,37,0,1
49,3,82,0,46,-8,33,30,2,1
41,1,86,3,42,6,40,40,0,1
37,0,77,0,336,4910,41,-208,-298,1
49,0,84,0,46,-4,36,38,2,1
37,-1,77,-3,34,-6,40,43,2,1
41,0,79,0,38,-23,38,41,2,1
1,0,79,0,2,2,27,27,0,1
0,-1,79,-4,20,-12,24,9,34,4
41,0,77,0,42,0,37,36,0,1
46,-3,80,0,46,0,34,34,0,1
6,0,79,0,-2,-24,24,82,8,4
44,0,82,-1,44,0,38,38,0,1
40,0,83,0,46,31,37,36,0,1
37,0,77,-1,36,4,40,41,0,1
37,0,70,-1,36,0,38,39,0,1
37,1,77,-2,34,0,40,43,2,1
1,0,79,0,0,-6,28,30,2,1
46,-4,76,-1,46,0,29,29,0,1
49,0,77,0,0,0,28,28,0,1
40,0,108,0,44,-3,62,64,2,1
42,0,79,-2,42,0,36,37,2,1
37,0,78,0,20,-10,41,7,16,1
37,0,76,-3,36,-10,39,40,2,1
3,0,84,0,2,0,31,32,2,1
38,4,76,0,38,4,38,37,0,1
40,0,80,0,38,-2,40,41,2,1
47,2,90,3,46,0,48,49,0,1
40,0,79,0,44,0,34,30,2,1
41,-1,86,0,42,0,40,40,0,1
0,0,90,0,36,13,40,9,20,4
6,0,90,0,6,10,40,39,0,1
1,-3,83,0,0,-14,32,33,2,1
37,0,70,0,34,10,38,41,2,1
37,0,70,0,28,16,38,46,8,1
81,-2,84,0,-18,-30,4,103,98,0
43,0,90,-4,42,-4,2,4,2,1
41,0,84,2,42,20,43,43,0,1
49,0,87,-7,46,-20,38,41,2,1
49,0,83,0,46,-14,34,37,2,1
37,-3,77,0,20,0,40,6,16,1
81,0,84,0,-12,29,4,97,94,0
0,1,84,0,4,-1,29,30,2,1
0,0,96,0,46,23,41,0,8,4
42,0,81,-2,42,-4,39,39,0,1
79,0,83,0,-40,3,4,120,120,0
9,0,84,0,60,6,20,24,0,1
6,-3,87,0,6,0,31,30,0,1
0,0,82,1,-10,0,26,92,66,4
6,0,92,0,-2,-4,36,90,8,4
46,0,80,0,46,0,34,34,0,1
6,0,78,0,8,-19,22,70,48,4
37,0,83,0,34,7,47,0,2,1
37,0,77,0,2,17,40,74,34,1
3,-1,87,0,2,-10,34,30,2,1
37,-1,79,-4,36,-6,42,43,2,1
44,-1,82,-4,44,0,38,38,0,1
48,-3,90,0,46,-4,47,49,2,1
42,0,79,0,42,0,37,38,0,1
37,0,106,-1,34,0,68,72,4,1
37,0,81,0,36,-3,43,44,2,1
44,-4,82,-3,44,0,38,38,0,1
40,0,83,0,46,19,38,37,0,1
0,2,83,-2,4,0,28,29,0,1
0,0,77,0,-14,-4,21,92,70,4
41,3,78,0,38,-1,37,39,2,1
37,0,78,0,8,0,41,70,30,1
7,3,91,0,6,0,34,34,0,1
37,0,76,0,38,14,38,37,0,1
37,0,77,0,8,-8,41,70,28,1
37,0,76,0,28,6,39,47,8,1
49,4,84,0,0,2,30,30,0,1
37,0,77,0,-12,-10,41,90,0,1
0,-4,80,0,0,0,30,36,2,1
1,-2,87,0,2,0,36,30,0,1
37,0,93,0,12,7,6,81,24,1
6,0,82,1,4,-12,26,28,2,1
43,0,81,3,42,-4,38,40,2,1
0,-2,108,0,4,-3,2,3,2,1
37,0,81,-1,36,-18,43,44,2,1
40,-1,78,-3,44,0,33,34,2,1
41,0,77,7,38,0,36,38,2,1
48,1,87,0,46,0,39,41,2,1
43,0,81,0,44,10,37,37,0,1
6,0,96,0,2,-3,40,44,4,4
37,0,92,0,24,3,0,69,14,1
46,1,83,0,44,-9,37,39,2,1
49,-2,77,3,46,-30,28,30,2,1
40,0,83,0,44,2,38,39,0,1
6,0,81,0,-20,-4,20,102,76,4
48,-3,109,-6,46,0,61,62,2,1
37,0,83,0,34,0,46,49,4,1
0,-4,83,0,0,0,33,34,2,1
47,-2,70,0,46,0,28,28,0,1
48,1,81,-1,46,0,33,34,2,1
0,0,82,0,-42,-9,26,126,100,4
0,3,107,0,0,0,7,8,0,1
38,0,102,-4,34,0,60,69,4,1
37,0,106,17,28,0,69,77,8,1
37,0,77,0,-6,-19,41,80,44,1
37,0,79,0,26,-22,42,3,12,1
43,0,84,0,44,13,41,41,0,1
36,-1,81,0,36,0,40,40,0,1
40,1,80,0,46,31,30,34,0,1
0,0,78,0,0,-3,23,78,6,4
8,0,88,0,6,0,30,31,2,1
48,0,88,-4,46,0,40,41,2,1
100,-1,106,2,70,0,2,36,34,0
4,-1,86,-1,4,-2,32,32,0,1
6,4,96,0,2,10,40,44,4,4
79,2,83,0,-42,-19,4,126,122,0
37,0,97,0,24,-30,60,73,14,1
46,-3,109,2,46,0,63,63,0,1
37,0,78,0,16,-11,42,63,22,1
37,0,78,0,12,-10,41,60,24,1
6,0,78,0,-22,0,22,101,80,4
0,0,83,0,-24,0,27,108,82,4
4,2,80,0,4,0,26,26,0,1
0,0,77,-2,28,0,21,48,28,4
37,0,104,-9,28,0,67,70,8,1
0,-1,79,0,16,0,23,63,40,4
43,-3,86,0,42,-16,42,44,2,1
41,-1,89,0,38,-14,48,0,2,1
39,0,107,-2,38,0,68,68,0,1
46,0,107,0,46,4,61,60,0,1
37,4,76,0,34,-10,39,43,4,1
44,1,76,0,44,8,32,32,0,1
3,0,79,0,4,14,26,24,0,1
44,0,81,-1,44,0,37,37,0,1
6,3,99,0,38,0,43,60,18,4
6,0,93,-7,0,0,37,44,6,4
37,0,70,-2,34,0,38,41,2,1
2,4,84,-1,2,-2,31,32,0,1
80,0,80,6,-40,10,0,126,122,0
37,0,76,0,36,4,39,40,2,1
0,0,92,0,-4,22,36,97,60,4
44,2,70,0,44,11,31,31,0,1
43,0,83,0,42,-9,39,41,2,1
41,-1,76,0,38,-24,30,37,2,1
40,0,86,0,44,-10,41,42,2,1
0,0,77,0,6,-11,22,72,0,4
67,-2,110,0,68,0,43,43,0,1
37,-67,106,0,36,31,69,69,0,1
6,0,108,0,4,-14,2,3,2,1
42,0,86,-3,42,0,44,44,0,1
6,0,84,0,4,-19,28,30,2,1
38,2,80,0,38,4,42,41,0,1
40,0,86,0,44,-3,41,42,2,1
44,0,83,-1,44,0,38,39,0,1
40,-2,83,0,44,-7,37,39,2,1
3,-1,88,0,4,4,30,34,0,1
1,0,83,0,2,19,31,31,0,1
41,0,81,0,38,-3,41,43,2,1
46,0,88,0,46,0,41,41,0,1
43,0,77,0,42,0,34,36,2,1
40,2,76,-3,44,0,31,32,0,1
41,1,97,0,42,4,0,0,0,1
37,0,81,2,26,0,44,0,10,1
83,0,86,0,-4,0,3,92,88,0
6,0,81,4,-22,0,20,104,80,4
43,0,87,0,42,-6,44,46,2,1
6,4,98,-4,42,0,42,7,14,4
46,2,78,0,46,9,32,32,0,1
37,0,79,0,26,-4,42,3,12,1
43,-1,83,0,42,-6,39,41,2,1
37,0,83,1,24,0,46,9,14,1
0,0,90,-2,0,0,40,46,6,4
6,3,89,0,6,0,33,32,0,1
37,0,78,0,0,-11,42,78,36,1
48,1,87,-6,46,-4,39,41,2,1
37,0,90,0,30,9,3,9,6,1
0,0,96,0,46,9,41,0,8,4
1,-3,84,4,2,1,33,32,0,1
37,0,78,0,12,11,41,60,24,1
37,0,97,-6,34,0,9,63,4,1
40,-1,77,2,44,0,32,33,0,1
49,0,84,0,0,18,30,30,0,1
3,0,81,4,2,-22,28,29,2,1
37,2,90,0,28,0,3,62,8,1
37,0,77,1,36,0,41,41,0,1
70,7,82,0,-42,-4,12,126,114,2
61,-2,111,0,60,0,0,2,2,1
9,0,86,0,60,21,28,27,0,1
49,0,90,3,0,4,46,46,0,1
40,2,86,6,44,0,41,42,2,1
40,0,79,0,46,6,33,32,0,1
6,0,78,0,44,1,22,34,12,4
0,-3,96,0,4,-3,41,42,2,1
49,0,78,0,0,3,29,29,0,1
39,3,77,0,38,0,38,38,0,1
0,-1,79,-8,20,-13,23,8,34,4
6,0,86,0,6,10,31,30,0,1
37,0,81,0,18,-26,44,63,18,1
41,0,82,-2,38,-3,41,43,2,1
40,-3,88,0,44,0,44,44,0,1
37,0,83,0,8,24,46,70,30,1
43,0,77,0,42,-8,34,36,2,1
84,6,89,0,6,-6,0,84,78,0
37,0,79,-1,6,-23,43,74,32,1
37,0,81,0,38,7,43,42,0,1
43,0,77,0,42,-19,34,30,2,1
6,-1,98,4,0,23,42,49,6,4
0,1,78,-2,0,0,28,29,2,1
39,3,86,0,38,0,48,48,0,1
43,0,81,0,42,-10,37,39,2,1
37,0,79,0,36,9,42,43,2,1
8,-4,91,0,6,0,33,34,0,1
40,0,93,2,44,0,49,0,0,1
38,3,76,0,38,8,38,37,0,1
37,0,79,-3,36,-1,41,43,2,1
79,6,83,1,-40,13,4,124,120,0
36,-1,76,0,36,0,39,39,0,1
80,-3,88,0,2,-20,3,86,82,0
37,3,77,0,36,0,41,41,0,1
37,0,77,0,26,-19,41,2,10,1
40,0,79,0,46,14,34,33,0,1
4,4,77,0,28,0,23,48,26,4
43,0,77,0,44,19,34,33,0,1
41,0,83,2,38,-1,42,44,2,1
43,0,77,10,42,-34,34,36,2,1
6,2,81,4,-4,0,20,86,62,4
0,0,82,0,-32,9,26,110,90,4
37,0,103,0,24,16,66,80,14,1
0,1,90,3,0,0,39,41,2,1
40,0,84,8,44,-8,39,41,2,1
