0.12,-0.19,0
-0.21,0.01,0
-0.08,0.04,0
1.23,1.1,1
0.2,0,0
0.01,0.17,0
0.91,0.91,1
0.05,-0.16,0
0.23,-0.06,0
-0.14,-0.22,0
0.77,1.17,1
1.01,1.07,1
-0.02,-0.16,0
0.76,1.22,1
0.9,1.22,1
-0.2,0.05,0
0.06,0.05,0
0.02,-0.21,0
-0.08,-0.06,0
1.19,0.89,1
1.02,0.95,1
0.83,0.79,1
0.95,1,1
1.2,0.84,1
0.78,1.13,1
0.16,0,0
0.24,-0.06,0
0.01,0.17,0
0.24,0.03,0
1.22,1.21,1
0.94,1.11,1
1.1,1,1
0.2,0.19,0
0.1,-0.2,0
0.95,0.77,1
1.05,1,1
-0.19,0.24,0
1.08,1.1,1
1.05,0.98,1
0.83,0.97,1
1.19,0.83,1
0.93,0.94,1
-0.14,-0.05,0
-0.15,0.16,0
0.8,0.8,1
0.18,0.14,0
1.2,1.04,1
-0.24,-0.07,0
0.94,1.21,1
0.05,0.11,0
0.11,0.22,0
-0.09,-0.2,0
0.82,0.84,1
1.04,0.8,1
-0.23,-0.14,0
0.9,0.88,1
0.92,1.24,1
-0.25,-0.14,0
-0.15,-0.16,0
-0.23,-0.18,0
1.14,0.81,1
1.16,0.75,1
-0.23,-0.12,0
1.01,1.21,1
0.08,-0.12,0
1.22,1.14,1
0.21,0.22,0
-0.08,-0.25,0
-0.25,-0.13,0
0.09,-0.23,0
0.96,0.98,1
0.81,1.09,1
0.24,0.18,0
1.07,1.05,1
-0.23,-0.1,0
0.01,-0.1,0
0.82,1.01,1
1.14,1.16,1
-0.07,0.01,0
-0.06,0.04,0
-0.02,0.01,0
-0.14,-0.15,0
-0.17,-0.05,0
0.01,-0.21,0
0,-0.02,0
0.22,0.11,0
0.93,1.09,1
1.11,1.2,1
0.05,-0.15,0
-0.12,-0.11,0
-0.24,0.19,0
0.96,0.8,1
0.83,1.07,1
0.08,0.23,0
0.8,1.01,1
0.86,0.93,1
1.13,0.85,1
-0.04,0.14,0
-0.16,-0.16,0
-0.1,0.11,0
